,Has [XX] committed to 100% clean energy?,What is [XX]'s current renewable or clean energy target?,Does [XX] have a goal for reducing carbon pollution across the entire economy?,Does [XX] have goals or incentives for electric vehicles?,How does [XX] compare when it comes to policies to save energy in buildings and vehicles?
Alabama,No,[XX] does not have a mandatory renewable energy target.,No,No,[XX] is ranked 43rd by the American Council for an Energy-Efficient Economy.
Alaska,No,[XX] does not have a mandatory renewable energy target.,No,No,[XX] is ranked 41st (tied with South Carolina) by the American Council for an Energy-Efficient Economy.
American Samoa,No,[XX] does not have a mandatory renewable energy target.,No,No,[XX] is not ranked by the American Council for an Energy-Efficient Economy.
Arizona,No,[XX] has a target of 15% renewable or clean energy by 2025.,[XX] has a nonbinding goal of a 50% reduction in carbon pollution below 2000 levels by 2040.,No,[XX] is ranked 17th by the American Council for an Energy-Efficient Economy.
Arkansas,No,[XX] does not have a mandatory renewable energy target.,No,No,[XX] is ranked 34th by the American Council for an Energy-Efficient Economy.
California,Yes&comma; [XX] has committed in law to 100% clean energy by 2045.,[XX] has a target of 100% renewable or clean energy by 2045.,[XX] has a mandatory goal of an 80% reduction in carbon pollution below 1990 levels by 2050.,[XX] has a zero vehicle emissions mandate with a target that 22% of all new vehicles will be electric by 2025.,[XX] is ranked 2nd by the American Council for an Energy-Efficient Economy.
Colorado,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,[XX] has a target of 30% renewable or clean energy by 2020.,[XX] has legislated a goal of 90% reduction in carbon pollution by 2050.,[XX] is adopting a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,[XX] is ranked 14th (tied with Maine) by the American Council for an Energy-Efficient Economy.
Connecticut,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,[XX] has a target of 44% renewable or clean energy by 2030.,[XX] has a nonbinding goal of an 80% reduction in carbon pollution below 2001 levels by 2050.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,[XX] is ranked 5th by the American Council for an Energy-Efficient Economy.
Delaware,No,[XX] has a target of 25% renewable or clean energy by 2026.,[XX] has a nonbinding goal of a 30% reduction in carbon pollution below 2008 levels by 2030.,[XX] has a low-emissions vehicle program which encourages electric vehicles but isn't as strong as a zero-emissions vehicle mandate.,[XX] is ranked 22nd by the American Council for an Energy-Efficient Economy.
District of Columbia,Yes&comma; the District of Columbia has committed in law to 100% clean energy by 2032.,[XX] has a target of 100% renewable or clean energy by 2032,No,No,[XX] is ranked 12th (tied with Illinois) by the American Council for an Energy-Efficient Economy.
Florida,No,[XX] does not have a mandatory renewable energy target.,[XX] has a nonbinding goal of 80% reduction in carbon pollution below 1990 levels by 2050.,No,[XX] is ranked 23rd by the American Council for an Energy-Efficient Economy.
Georgia,No,[XX] does not have a mandatory renewable energy target.,No,No,[XX] is ranked 38th by the American Council for an Energy-Efficient Economy.
Guam,No,[XX] has a target of 25% renewable or clean energy by 2035.,No,No,[XX] is not ranked by the American Council for an Energy-Efficient Economy.
Hawaii,Yes&comma; Hawaii has committed in law to 100% clean energy by 2045.,[XX] has a target of 100% renewable or clean energy by 2045.,[XX] has a nonbinding goal to be carbon neutral by 2045.,No,[XX] is ranked 16th by the American Council for an Energy-Efficient Economy.
Idaho,No,[XX] does not have a mandatory renewable target.,No,No,[XX] is ranked 26th (tied with North Carolina and Virginia) by the American Council for an Energy-Efficient Economy.
Illinois,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,[XX] has a target of 25% renewable or clean energy by 2025-2026.,[XX] has a nonbinding goal of 60% reduction in carbon pollution below 1990 levels by 2050.,No,[XX] is ranked 12th (tied with the District of Columbia) by the American Council for an Energy-Efficient Economy.
Indiana,No,[XX] has a target of 10% renewable or clean energy by 2025.,No,No,Your state is ranked 40th by the American Council for an Energy-Efficient Economy.
Iowa,No,[XX] has a target of 105 MW of electricity from renewable energy sources&comma; but generates a far larger amount of renewable energy.,No,No,[XX] is ranked 24th by the American Council for an Energy-Efficient Economy.
Kansas,No,[XX] has a target of 20% renewable or clean energy by 2020.,No,No,[XX] is ranked 46th (tied with Louisiana and South Dakota) by the American Council for an Energy-Efficient Economy.
Kentucky,No,[XX] does not have a mandatory renewable energy target.,No,No,[XX] is ranked 29th (tied with Nevada&comma; Ohio&comma; and Wisconsin) by the American Council for an Energy-Efficient Economy.
Louisiana,No,[XX] does not have a mandatory renewable energy target.,No,No,[XX] is ranked 46th (tied with Kansas and South Dakota) by the American Council for an Energy-Efficient Economy.
Maine,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,[XX] establsihed a target of 40% renewable or clean energy by 2017.*,[XX] has a nonbinding goal of a 80% reduction in carbon pollution below 2003 levels.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,[XX] is ranked 14th (tied with Colorado) by the American Council for an Energy-Efficient Economy.
Maryland,No,[XX] has a target of 25% renewable or clean energy by 2020.,[XX] has a nonbinding goal of 40% reduction in carbon pollution below 2006 levels by 2030.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,[XX] is ranked 10th by the American Council for an Energy-Efficient Economy.
Massachusetts,No,[XX] has a target of 35% renewable or clean energy by 2030.,[XX] has a nonbinding goal of 80% reduction in carbon pollution below 1990 levels by 2050.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,[XX] is ranked 1st by the American Council for an Energy-Efficient Economy.
Michigan,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,[XX] has a target of 35% renewable or clean energy by 2025.,[XX] has a nonbinding goal of 80% reduction in carbon pollution below 2005 levels by 2050.,No,[XX] is ranked 11th by the American Council for an Energy-Efficient Economy.
Minnesota,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,[XX] has a target of 25% renewable or clean energy by 2025.,[XX] has a nonbinding goal of 80% reduction in carbon pollution below 2005 levels by 2050.,No,[XX] is ranked 8th by the American Council for an Energy-Efficient Economy.
Mississippi,No,[XX] does not have a mandatory renewable energy target.,No,No,[XX] is ranked 44th (tied with Nebraska) by the American Council for an Energy-Efficient Economy.
Missouri,No,[XX] has a target of 15% renewable or clean energy by 2021.,No,No,[XX] is ranked 33rd by the American Council for an Energy-Efficient Economy.
Montana,No,[XX] has a target of 15% renewable or clean energy by 2015.,No,No,[XX] is ranked 37th by the American Council for an Energy-Efficient Economy.
Nebraska,No,[XX] does not have a mandatory renewable energy target.,No,No,[XX] is ranked 44th (tied with Mississippi) by the American Council for an Energy-Efficient Economy.
Nevada,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,[XX] has a target of 50% renewable or clean energy by 2030.,No,No,[XX] is ranked 29th (tied with Kentucky&comma; Ohio&comma; and Wisconsin) by the American Council for an Energy-Efficient Economy.
New Hampshire,No,[XX] has a target of 25.2% renewable or clean energy by 2025.,[XX] has a nonbinding goal of a 80% reduction in carbon pollution below 1990 levels by 2050.,No,[XX] is ranked 21st by the American Council for an Energy-Efficient Economy.
New Jersey,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,[XX] has a target of 50% renewable or clean energy by 2030.,[XX] has a nonbinding goal of 80% reduction in carbon pollution below 2006 levels by 2050.,New Jersey has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,[XX] is ranked 18th (tied with Pennsylvania) by the American Council for an Energy-Efficient Economy.
